formula,ref_energy_eV,min_final_log_eV,delta_eV
Ag2F18Pt4,-3.9208246866861978,-3.921759,-0.0009343133138024484
Ag2Rb6Te4,-2.8324851989746094,-2.811584,0.020901198974609514
Ag30K6Se18,-3.18613518608941,-3.147671,0.038464186089409935
Ag30Se18Tl6,-3.1564579716435186,-3.124378,0.0320799716435185
Ag3Na5Te4,-2.9441095987955728,-2.94412,-1.0401204427079591e-05
Ag4Br12K8,-2.959096590677897,-2.959148,-5.1409322102902166e-05
Ag4Br16Tl4,-2.417954126993815,-2.422113,-0.004158873006185004
Ag4Br8Co2,-3.103862762451172,-3.106756,-0.002893237548827976
Ag4Cl12K8,-3.2200749715169272,-3.220098,-2.302848307289551e-05
Ag4Cl28S4,-2.4009518093532987,-2.392247,0.00870480935329887
Ag4Te4Zr,-3.9698893229166665,-3.961448,0.00844132291666666
Ag6La2Se6,-4.201551982334682,-4.179083,0.022468982334681975
Ag6Li2S4,-3.5134429931640625,-3.471838,0.04160499316406252
Ag8F20Rh4,-4.086845397949219,-4.086847,-1.6020507809244577e-06
Ag8Li24Se16,-3.5595267613728843,-3.555663,0.0038637613728842446
Ag8Na4Te6,-2.978547837999132,-2.978557,-9.162000867757314e-06
Ag8P4Se14,-3.6809745201697717,-3.656853,0.02412152016977176
Al12Cs4S20,-4.854285346137153,-4.837187,0.017098346137152554
Al12Cs4Se20,-4.311097039116754,-4.289979,0.021118039116753806
Al12K12P16,-4.211124420166016,-4.166967,0.04415742016601598
Al12K4S20,-4.851783752441406,-4.837933,0.013850752441406655
Al12K4Se20,-4.309721204969618,-4.286007,0.02371420496961818
Al12K4Te20,-3.720701429578993,-3.677931,0.0427704295789928
Al12Na4Se20,-4.29721917046441,-4.260576,0.03664317046440946
Al12Na4Te20,-3.718377855088976,-3.665,0.053377855088975856
Al12Rb4Se20,-4.306329939100477,-4.283741,0.022588939100477212
AlBr6Ir,-3.5118019580841064,-3.512569,-0.000767041915893607
AlBr6Rh,-3.398848056793213,-3.399326,-0.0004779432067869571
Al2Br16Ta2,-3.890824890136719,-3.890508,0.00031689013671876154
Al2Br18Mo2,-3.328856728293679,-3.336164,-0.00730727170632095
Al2Br7Li,-3.3182693481445313,-3.319208,-0.0009386518554688195
Al2C6La6,-6.860618591308594,-6.766433,0.09418559130859361
Al2Cs6Se6,-3.605849947248186,-3.605885,-3.505275181359124e-05
Al2I16Ta2,-3.3244144439697267,-3.321684,0.002730443969726881
Al4Ba6S12,-5.177755876020952,-5.167182,0.010573876020951722
Al4Br10I2,-3.1924889087677,-3.192359,0.00012990876770002657
Al4Br16Mg2,-3.256075772372159,-3.252414,0.0036617723721592554
Al4Cl16Fe2,-4.083370555530895,-4.07285,0.010520555530894704
Al4Cl16Hg2,-3.31085205078125,-3.311193,-0.00034094921874983086
Al4Cl16Mn2,-4.266865123401988,-4.266878,-1.2876598011857254e-05
Al4Cr4S12,-6.041613388061523,-5.998565,0.04304838806152311
Al4Cs6P6,-3.845183849334717,-3.84522,-3.615066528306343e-05
Al4Cs8S10,-4.173903725363991,-4.173914,-1.027463600866696e-05
Al4Cs8Se10,-3.788079695268111,-3.788078,1.6952681107795797e-06
Al4Ga4S12,-4.704811859130859,-4.68593,0.01888185913085927
Al4I16Li4,-2.8363939921061196,-2.84468,-0.008286007893880232
Al4I16Mg2,-2.7158432006835938,-2.712513,0.003330200683593798
Al4K8S10,-4.248564286665483,-4.247708,0.000856286665483097
Al4Na6P6,-4.000840663909912,-4.000855,-1.43360900874967e-05
Al4P12Sr12,-4.633604322160993,-4.633601,3.3221609934130925e-06
Al4P6Rb6,-3.8842153549194336,-3.884207,8.354919433628538e-06
Al4Rb12Se12,-3.628319876534598,-3.632869,-0.0045491234654018164
Al6Cs10S14,-4.2799433390299475,-4.253707,0.026236339029947153
Al6Cs10Se14,-3.8714218139648438,-3.848256,0.02316581396484363
Al6Cs10Te14,-3.4128087361653647,-3.391103,0.02170573616536453
Al6Rb10S14,-4.289185587565104,-4.278844,0.010341587565103616
Al6Rb10Se14,-3.8730555216471356,-3.864785,0.008270521647135709
Al8Br28Tl4,-3.248374176025391,-3.242766,0.005608176025390765
Al8Cl28Tl4,-3.746257019042969,-3.742298,0.003959019042969025
Al8Cs4I28,-2.798533821105957,-2.799479,-0.0009451788940428862
Al8Na16Se20,-3.825521295720881,-3.797027,0.028494295720880913
Al8Pb2S14,-4.965124130249023,-4.952426,0.012698130249023443
Al8S14Sn2,-4.963854789733887,-4.9454,0.01845478973388648
Al8S20Sn8,-4.823954688178168,-4.794309,0.02964568817816815
Al8Se20Sn8,-4.342141469319661,-4.311197,0.030944469319661216
AsBrPb2,-3.830490827560425,-3.830493,-2.172439575343077e-06
AsCl8Fe,-3.382196807861328,-3.388467,-0.0062701921386718595
AsCo3S7,-5.291849309747869,-5.215238,0.0766113097478689
AsIr3S7,-5.8448403098366475,-5.627656,0.2171843098366475
AsIr3Se7,-5.4074835343794385,-5.348976,0.05850753437943812
AsIr3Te7,-5.10857460715554,-5.108575,-3.9284446007314955e-07
AsRh3S7,-5.475026217373935,-5.420005,0.05502121737393484
AsRh3Se7,-5.070925279097124,-5.024876,0.046049279097124085
As2Cl18Ir2,-3.1723591197620737,-3.158235,0.014124119762073839
As2Cl18Pd2,-2.782902804287997,-2.752013,0.030889804287997258
As2Cl18Pt2,-2.912354209206321,-2.891035,0.0213192092063208
As2Cl18Zr2,-3.773343866521662,-3.761378,0.011965866521661983
As2Cl7I3,-2.708118438720703,-2.685113,0.023005438720703264
As2F16Ru2,-4.759101867675781,-4.76296,-0.0038581323242183885
As2La6Se6,-6.197469438825335,-6.197474,-4.56117466463013e-06
As2Na18P4,-2.6407758394877114,-2.639252,0.0015238394877115091
As4Ba12I12,-3.7635062081473216,-3.71307,0.050436208147321526
As4Ba8Se2,-4.298711776733398,-4.211774,0.08693777673339831
As4Ba8Te2,-4.179075513567243,-4.179557,-0.0004814864327569168
As4Br12Sr12,-3.9411122458321706,-3.935748,0.0053642458321707664
As4Br4Hg8,-1.9349112510681152,-1.942424,-0.007512748931884694
As4Br4Pt4,-4.51840337117513,-4.381084,0.1373193711751295
As4Br8F12,-3.6465447743733725,-3.652967,-0.006422225626627309
As4Ca8Se2,-4.3914064679827005,-4.387677,0.003729467982700463
As4Fe4I32,-2.673428535461426,-2.674058,-0.0006294645385742648
As4Hg10I8,-1.7334868691184304,-1.707142,0.02634486911843048
As4I12Sr12,-3.6306825365339006,-3.574502,0.05618053653390076
As4Nb12Te24,-5.821188735961914,-5.821709,-0.0005202640380863599
As4S16Sr6,-4.707851996788611,-4.664929,0.042922996788611556
As4Se2Sr8,-4.194239480154855,-4.129298,0.06494148015485468
As4Se3Te3,-3.9250518798828127,-3.897153,0.02789887988281281
As5Ba8Br,-4.11833735874721,-4.118325,1.2358747210505783e-05
As5Ba8Cl,-4.156925201416016,-4.156979,-5.379858398413262e-05
As5Ba8I,-4.064898082188198,-4.064863,3.508218819803233e-05
As5BrCa8,-4.204214368547712,-4.204202,1.2368547711361089e-05
As5BrSr8,-4.005081994192941,-4.005106,-2.4005807058635753e-05
As5Ca8Cl,-4.249601909092495,-4.249598,3.909092495035793e-06
As5ClSr8,-4.047526768275669,-3.98918,0.05834676827566909
As5ISr8,-3.944838660103934,-3.944821,1.7660103933891946e-05
As6Ca10Cl2,-4.2514525519476996,-4.251453,-4.480523001504366e-07
As6Ca10F2,-4.497809092203776,-4.497809,9.2203776169697e-08
As6F2Sr10,-4.2818603515625,-4.281959,-9.86484374996266e-05
Au2Cl5I,-2.4073843955993652,-2.406639,0.0007453955993650396
Au2Cs2Se4,-3.382493019104004,-3.379013,0.003480019104003862
Au2K2Te4,-3.1792545318603516,-3.181219,-0.0019644681396484565
Au4Ba2Br16,-2.6853403611616655,-2.702819,-0.017478638838334337
Au4Br16Pb2,-2.5055477835915307,-2.528897,-0.02334921640846943
Au4Br24La4,-3.370291233062744,-3.331409,0.0388822330627443
Au4Br32P4,-2.449381446838379,-2.460023,-0.010641553161621076
Au4Ca2Cl16,-2.9836110201748935,-2.987006,-0.0033949798251065033
Au4Cl24La4,-3.775390625,-3.735691,0.039699624999999905
Au4Cl24Y4,-3.893219232559204,-3.866667,0.026552232559204025
Au4Cl4Se4,-3.090261141459147,-3.037341,0.05292014145914692
Au4Co2F16,-3.755559054287997,-3.754404,0.0011550542879970038
Au4Cu2F16,-3.48773193359375,-3.494591,-0.006859066406249781
Au4F16Mn2,-4.137435219504616,-4.124239,0.013196219504616025
Au4F16Pb2,-3.764849229292436,-3.744367,0.02048222929243604
Au4F28Ru4,-4.277330610487196,-4.265443,0.011887610487195666
Au4I18Tl2,-2.0412274996439614,-2.029583,0.011644499643961304
Au4I24La4,-2.9793472290039062,-2.940105,0.03924222900390628
Au4I4Se4,-2.8258536656697593,-2.828874,-0.003020334330240626
Au4La8P12,-6.027402242024739,-5.96863,0.058772242024739185
Au8Br12Cl12,-2.332653284072876,-2.312484,0.020169284072875993
Au8Br12I12,-2.1293132305145264,-2.117949,0.011364230514526508
Au8Br16I8,-2.1523613929748535,-2.12245,0.029911392974853346
Au8Br8I16,-2.097886085510254,-2.071688,0.026198085510253932
Au8Cl12I12,-2.273455858230591,-2.24213,0.031325858230590864
B12I12S12,-4.4308522542317705,-4.429276,0.0015762542317707684
B12I12Se12,-4.029474470350477,-4.02839,0.0010844703504773179
B2F10Ge2,-5.465110778808594,-5.466033,-0.0009222211914066136
B4Ba6Se12,-4.864758578213778,-4.854413,0.01034557821377824
